EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	06:28:00	0	0.1000	0.518190193086187	0.47502779960632324		0.7761
2	06:31:36	1	0.1000	0.5137834068543856	0.4824674725532532		0.7684
3	06:35:16	2	0.1000	0.5098678892227122	0.48103442788124084		0.7677
4	06:38:52	0	0.1000	0.5072287322728564	0.46336251497268677		0.7812
5	06:42:36	1	0.1000	0.5054284029437444	0.4654099643230438		0.7794
6	06:46:10	0	0.1000	0.5023554151769849	0.46546703577041626		0.7823
7	06:49:54	0	0.1000	0.500406562162805	0.4613710343837738		0.7823
8	06:53:35	0	0.1000	0.4986238761327074	0.4569794833660126		0.7846
9	06:57:11	0	0.1000	0.49478785294415834	0.4555046856403351		0.787
10	07:00:52	1	0.1000	0.4947835052207211	0.4546208083629608		0.7862
11	07:04:28	2	0.1000	0.4924092714877158	0.45584455132484436		0.7849
12	07:08:13	0	0.1000	0.4904875716751982	0.45297926664352417		0.7882
13	07:11:54	1	0.1000	0.4884387090723712	0.45625537633895874		0.7871
14	07:15:32	0	0.1000	0.487405181019809	0.4526345431804657		0.7893
15	07:19:14	1	0.1000	0.4843907161697469	0.45100682973861694		0.7878
16	07:22:49	2	0.1000	0.4847325129997056	0.4652239680290222		0.7785
17	07:26:28	3	0.1000	0.48311161479688985	0.4507068395614624		0.7892
18	07:30:12	0	0.1000	0.48192019344659154	0.44728896021842957		0.7926
19	07:33:49	1	0.1000	0.47921618340843625	0.4473656713962555		0.79
20	07:37:30	0	0.1000	0.47885318363875745	0.44197314977645874		0.7943
21	07:41:07	1	0.1000	0.47777618495446744	0.44890791177749634		0.7921
22	07:44:47	2	0.1000	0.4757614412200186	0.44724351167678833		0.794
23	07:48:20	3	0.1000	0.47486646680188227	0.44304460287094116		0.7925
24	07:51:59	0	0.1000	0.47274064329796806	0.4440634250640869		0.7959
25	07:55:35	1	0.1000	0.4723257931345574	0.44266489148139954		0.7934
26	07:59:08	0	0.1000	0.4724756715525362	0.4439060091972351		0.7964
27	08:02:45	1	0.1000	0.4699520004581799	0.4395659565925598		0.7962
28	08:06:26	0	0.1000	0.4690372557307862	0.4370262920856476		0.7977
29	08:10:06	1	0.1000	0.46803495658120986	0.45004701614379883		0.787
30	08:13:41	2	0.1000	0.4675091936218676	0.4362867474555969		0.7966
31	08:17:21	3	0.1000	0.46666415303583847	0.4387523829936981		0.7952
32	08:20:54	4	0.1000	0.4640355592622128	0.44726377725601196		0.7966
33	08:24:27	0	0.1000	0.4651735217088907	0.43642717599868774		0.7978
34	08:28:07	1	0.1000	0.46291709503443423	0.4528310000896454		0.7934
35	08:31:41	0	0.1000	0.46241055728233404	0.4306826591491699		0.8002
36	08:35:17	0	0.1000	0.45912101332849786	0.4341185986995697		0.8004
37	08:38:54	1	0.1000	0.46046104859317605	0.43446439504623413		0.7989
38	08:42:27	2	0.1000	0.4587198840226029	0.4441891014575958		0.7925
39	08:46:00	3	0.1000	0.45891214662513224	0.4313834309577942		0.7991
40	08:49:33	4	0.1000	0.45805766725733976	0.4425184726715088		0.7952
41	08:53:06	5	0.1000	0.45670131178163736	0.4347628057003021		0.7982
42	08:56:39	0	0.1000	0.45542677021187666	0.4325573146343231		0.8023
43	09:00:21	1	0.1000	0.45464592330961334	0.44342905282974243		0.7956
44	09:03:54	2	0.1000	0.4539020271549133	0.44537824392318726		0.7966
45	09:07:27	3	0.1000	0.45114089160277254	0.45280539989471436		0.7918
46	09:11:00	4	0.1000	0.4526198558903461	0.4308871626853943		0.8019
47	09:14:40	5	0.1000	0.450969981415637	0.43941307067871094		0.799
48	09:18:13	6	0.1000	0.44923724153917005	0.43653538823127747		0.7996
49	09:21:50	1	0.0500	0.434732916489165	0.43730872869491577		0.7986
50	09:25:23	0	0.0500	0.42912062094253617	0.42509642243385315		0.8044
51	09:29:00	1	0.0500	0.4273618856303774	0.4289040267467499		0.804
52	09:32:33	2	0.0500	0.42620242136087627	0.43184229731559753		0.8038
53	09:36:11	0	0.0500	0.4248997740616426	0.4236476719379425		0.8055
54	09:39:53	1	0.0500	0.42362578092763536	0.43160009384155273		0.8044
55	09:43:25	2	0.0500	0.42318188787557615	0.4304374158382416		0.8053
56	09:47:04	3	0.0500	0.422040882374292	0.43252435326576233		0.8018
57	09:50:42	4	0.0500	0.42141915015314985	0.4340752065181732		0.8044
58	09:54:15	5	0.0500	0.42013575932049824	0.426814466714859		0.8047
59	09:57:49	6	0.0500	0.4187810012052582	0.4311142563819885		0.8015
60	10:01:27	0	0.0250	0.40942431568676313	0.42488914728164673		0.807
61	10:05:11	1	0.0250	0.4074368842486962	0.43277043104171753		0.8056
62	10:08:43	2	0.0250	0.4067499460953172	0.4234893023967743		0.8068
63	10:12:21	3	0.0250	0.40451252321261194	0.42755126953125		0.8051
64	10:15:58	4	0.0250	0.4045725428583094	0.42403051257133484		0.8067
65	10:19:36	5	0.0250	0.40359098896408124	0.42904287576675415		0.8056
66	10:23:09	6	0.0250	0.403266786054913	0.4263124167919159		0.8057
67	10:26:47	0	0.0125	0.39739515842413065	0.42604514956474304		0.8074
68	10:30:25	1	0.0125	0.39472078574803865	0.4292810559272766		0.807
69	10:34:03	2	0.0125	0.3946638727777742	0.4262394905090332		0.807
70	10:37:36	3	0.0125	0.39423424658607176	0.42736688256263733		0.8064
71	10:41:11	0	0.0125	0.39307100401744705	0.4253474771976471		0.8074
72	10:44:48	1	0.0125	0.39244606716629565	0.4262148439884186		0.8067
73	10:48:27	2	0.0125	0.3927177916559661	0.4289368689060211		0.8062
74	10:52:06	3	0.0125	0.39061872989369223	0.42824631929397583		0.8073
75	10:55:44	0	0.0125	0.3918015312003358	0.4269985556602478		0.8078
76	10:59:25	1	0.0125	0.3898054257543676	0.4266802668571472		0.8071
77	11:03:03	2	0.0125	0.38937149319191233	0.42718055844306946		0.8066
78	11:06:41	3	0.0125	0.38910131582630725	0.4259609580039978		0.8063
79	11:10:16	4	0.0125	0.38991567823129086	0.4318331480026245		0.805
80	11:13:55	5	0.0125	0.38824671233733565	0.4304296374320984		0.8074
81	11:17:32	6	0.0125	0.3879880164290337	0.42794573307037354		0.8058
82	11:21:06	1	0.0063	0.38309250573749426	0.4297472834587097		0.8075
83	11:24:49	2	0.0063	0.38347547832822704	0.430650919675827		0.8061
84	11:28:23	3	0.0063	0.38304888495447326	0.43478259444236755		0.806
85	11:31:58	4	0.0063	0.3826675288769891	0.42952367663383484		0.8069
86	11:35:37	5	0.0063	0.38181718225770667	0.43411383032798767		0.8049
87	11:39:18	6	0.0063	0.38039855436019504	0.4275941550731659		0.8066
88	11:42:56	1	0.0031	0.3812692806155397	0.4286873936653137		0.8073
89	11:46:30	2	0.0031	0.3810943735220461	0.42958125472068787		0.8068
90	11:50:10	3	0.0031	0.37941367244499347	0.42963364720344543		0.8071
91	11:53:49	4	0.0031	0.38060093393158195	0.42863282561302185		0.8072
92	11:57:25	5	0.0031	0.37871111291331666	0.4304984509944916		0.8075
93	12:00:59	6	0.0031	0.3788109056929688	0.42979952692985535		0.8075
94	12:04:33	1	0.0016	0.37916765164627425	0.4287901222705841		0.8072
95	12:08:05	2	0.0016	0.37750014025681294	0.42934149503707886		0.8071
96	12:11:43	3	0.0016	0.37625741264914003	0.4301656484603882		0.8068
97	12:15:16	4	0.0016	0.37754469704397325	0.4299772381782532		0.8071
98	12:18:51	5	0.0016	0.37718965715760905	0.430115282535553		0.8077
99	12:22:27	6	0.0016	0.377499552972944	0.4303014874458313		0.807
100	12:26:02	1	0.0008	0.37786006533890754	0.43001288175582886		0.8068